ts,frame_id,pred_class,pred_conf,distance_m,proposed_action,final_action,reason,safety_json,human_label
23.967712879180908,436,demo,0.9,0.51425,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.0166654586792,437,demo,0.9,0.51475,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.07056760787964,438,demo,0.9,0.51475,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.12199568748474,439,demo,0.9,0.51475,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.175386905670166,440,demo,0.9,0.51475,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.231720685958862,441,demo,0.9,0.51475,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.281886100769043,442,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.33533787727356,443,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.391352653503418,444,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.443949222564697,445,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.49533772468567,446,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.54967451095581,447,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.605425119400024,448,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.657039165496826,449,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
24.711538076400757,450,demo,0.9,0.515,SCENARIO_DUMP,SCENARIO_DUMP,Ghost muted safety | Scenario keyframe=DUMP | mode=SystemMode.NOMINAL cams=2 lidar=True alive=True,,u
